idx,persona_text,age,source_config,strict_reject_reasons,llm_label,llm_confidence,llm_reason
76001,A sensitive and imaginative child who dreams of becoming a wildlife conservationist,,persona,[],yes,80,"describes a child with a dream, implying a young age"
79009,A local elementary school student who is part of a gardening club and looks up to the urban gardening enthusiast as a mentor,8.0,persona,[],yes,100,Persona is described as an elementary school student
101308,A young child overcoming a stutter with a newfound love for storytelling,,persona,[],yes,90,young child and love for storytelling suggests primary school age
103514,A 6-year-old child who experienced a traumatic event and is in need of therapy,6.0,persona,[],yes,100,age 6 is within primary school range
105516,A young child who volunteers their time to help their elder sibling pack and ship care packages,,persona,[],yes,80,young child
111764,A quiet 5-year-old child who has just discovered the magic of picture books,5.0,persona,[],yes,100,"age 5, likely in preschool or kindergarten"
114079,"A curious child fascinated by dinosaurs, asking numerous questions about their discoveries",,persona,[],yes,90,"childlike curiosity and fascination with dinosaurs, typical of primary school age"
115633,"A neighborhood kid who also hopes to serve in the military, turning their terrace into a mini boot camp for pretend drills and exercises",,persona,[],yes,90,neighborhood kid and pretend drills suggest a young child
122454,A young child who loves to watch and help the potter create beautiful ceramic pieces,,persona,[],yes,80,young child
130210,A young child who loves playing in the river and is concerned about the disappearing sand,,persona,[],yes,90,young child
170375,A young child who believes that dragons are real and constantly draws pictures of them,,persona,[],yes,90,behaviors and beliefs are typical of a young child
176146,"A bright, curious 5th grader with an interest in women’s rights movements",,persona,[],yes,100,5th grade is typically part of elementary/primary education
176940,A young child who has developed a love for nature and follows in their footsteps by picking up trash in the park,,persona,[],yes,90,behaviors and interests described are typical of a young child
178806,A child who looks up to the moderator as a superhero and diligently follows their recommendations for LEGO sets,,persona,[],yes,90,childlike behavior and interest in LEGO sets
184388,A young child who eagerly awaits the retired baker's delicious pancakes,,persona,[],yes,80,young child
187658,A young child who is fascinated by germs and loves to learn about handwashing and hygiene,,persona,[],yes,90,"interests and topics suggest a young child, likely in primary school age range"
189395,A young child who is fascinated by the process of growing their own food and looks up to the organic farmer as a mentor,,persona,[],yes,80,young child and mentorship context suggests primary school age
196925,A dyslexic child whose life has been positively impacted by the neuroscientist's research and advocacy,,persona,[],yes,90,"The persona is described as a child, implying they are likely of primary school age."
198490,A younger sibling who seeks assistance with reading and writing because of dyslexia,,persona,[],yes,90,Seeking assistance with reading and writing due to dyslexia is common in primary school age
25475,A ten years old kid from New York City who likes fun facts about different cultures,,persona,[],yes,100,age 10 is within primary school range
26457,A young child who is mesmerized by the squirrel's performances and dreams of training their own animal,,persona,[],yes,90,young child
39377,A young child living next door who often visits to play Nintendo games together,,persona,[],yes,80,"young child often visiting to play games, implies primary school age"
44661,A curious and open-minded child who eagerly absorbs the lessons about different customs and traditions,,persona,[],yes,90,"describes a child learning about customs and traditions, consistent with primary school curriculum"
55198,A shy and introverted child who struggles with speaking up in class,,persona,[],yes,90,describes a child with behaviors typical of a primary school student
61203,A young child who is curious and eager to learn about their Catholic faith,,persona,[],yes,80,young child implies primary school age and curiosity about faith suggests early education level
75279,A young child who is encouraged to explore and learn through educational television programs,,persona,[],yes,80,young child and educational context suggests primary school age
77093,A group of young kids who practice breakdancing and often put on impromptu performances in the park,,persona,[],yes,80,young kids implies primary school age and no mention of higher education level
82925,A curious young child who spends weekends tinkering with toy cars and dreams of becoming a mechanic,,persona,[],yes,90,describes a young child with interests typical of a primary school age
88498,A young child who constantly asks for new toys and clothes,,persona,[],yes,80,behavior typical of a young child
99486,A group of elementary school students whose behaviors and academic performance are observed in different classroom setups,8.0,persona,[],yes,100,Explicitly described as elementary school students
102873,A young child who dreams of having their own pet snake and is eager to learn about responsible ownership,,persona,[],yes,90,young child with interests typical of a primary school age
114126,A 7-year-old kid excited about meeting the Governor,7.0,persona,[],yes,100,age 7 is within primary school range
126368,A young child from an underprivileged background who discovers a love for reading through the program,,persona,[],yes,90,young child implies primary school age
137215,A young child struggling with anxiety and receiving firsthand support from the implemented mental health program in a pediatric healthcare setting,,persona,[],yes,90,young child and pediatric setting implies primary school age
138162,A young child who is proud of their heritage and is learning their ancestral language,,persona,[],yes,80,young child learning ancestral language suggests primary school age
139249,A young child who develops their problem-solving abilities and vocabulary through solving crossword puzzles,,persona,[],yes,90,"engages in activities typical for a young child, such as developing vocabulary"
142315,A young child who is amazed by the vintage action figures and often comes over to play,,persona,[],yes,80,"young child, implies early age and play behavior"
150937,An 8-year-old child who is excited to learn skiing for the first time,8.0,persona,[],yes,100,age 8 is within primary school range
153886,A 10-year-old book lover who inspired to write their own children's story,10.0,persona,[],yes,100,Age 10 is within the primary school range
156836,A curious and imaginative child who looks up to their older brother and shares his love for nature,,persona,[],yes,80,describes a child with characteristics typical of a primary school age
163527,A curious and energetic child who loves helping the janitor pick up litter and wants to learn more about cleaning,,persona,[],yes,90,behaviors and interests typical of a young child
170391,a 5-year-old child who loves to watch cooking shows and pretend to be a chef.,5.0,persona,[],yes,100,"age 5 is within primary school range, likely in kindergarten"
175507,A 10-year-old child who struggles with reading and has a low interest in books,10.0,persona,[],yes,100,"The persona is a 10-year-old child, which falls within the primary school age range."
178867,An imaginative kid who draws inspiration from their favorite children's books and dreams of becoming a writer one day,,persona,[],yes,90,Persona describes a kid with interests typical of a primary school age child
197774,A young child who eagerly awaits the toy reviewer's latest video to discover new toys to add to their collection,,persona,[],yes,90,young child awaiting toy reviewer's video
199408,A preschooler who shows a natural inclination towards music and has a strong interest in learning the violin,3.0,persona,[],yes,100,"Persona is a preschooler, which falls under primary school age"
3043,A young child who looks forward to their visits and sees them as a source of love and wisdom,,persona,[],yes,80,young child implies primary school age
4283,A shy and anxious elementary school student who is afraid of needles and medical procedures,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student
10836,A young child who is fascinated by different languages and wants to learn from the interpreter,,persona,[],yes,80,young child
11658,A young child in a war-torn country whose life has been impacted by the retired military officer's humanitarian work,,persona,[],yes,80,young child implies primary school age
33470,A dyslexic child who develops confidence in their communication abilities under their guidance,,persona,[],yes,90,"The persona is described as a child, implying a young age and likely primary school attendance."
36345,"A nature-loving elementary school student who dreams of a city filled with grass, trees, and playgrounds",8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student
47097,A curious young child who eagerly listens to stories about magical plants,,persona,[],yes,90,"describes a young child, likely in primary school age range"
49586,A classmate who visits the child in the hospital and brings them toys and books to keep them company,,persona,[],yes,90,"classmate visiting in hospital implies same age group, likely primary school"
82929,A young child who is fascinated by the intricate details of the vintage model trains,,persona,[],yes,80,young child
87612,A young child who desires a game room that transports them to a magical fantasy world,,persona,[],yes,90,young child implies primary school age
99491,A young child who can't resist the aroma of popcorn and often pops by for a snack,,persona,[],yes,80,behaviors and preferences described are typical of a young child
116531,A elementary school student currently learning about how communication has evolved over time,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student
122514,A young child who listens intently to the veteran's stories and draws pictures based on the stories,,persona,[],yes,90,The persona is described as a 'young child' which aligns with the primary school age range.
133084,A young child who dreams of becoming an RC car racer and looks up to the shop owner as a mentor,,persona,[],yes,90,young child implies primary school age
144345,a kid on a school trip to the museum reading about Nathan Hale for the first time,,persona,[],yes,90,"kid on a school trip, likely elementary school age"
151063,A curious and artistic child who enjoys sketching and exploring different natural landscapes,,persona,[],yes,90,describes a child with interests typical of a primary school age
170397,A young child who is fascinated by the idea of robots in their living space,,persona,[],yes,80,young child implies primary school age
172675,A classmate of one of the children who comes from a military family and teaches them about discipline and self-defense,,persona,[],yes,80,classmate of a child and teaching self-defense implies a young age
173431,A young child with Type 1 diabetes who receives ongoing care from the pediatric endocrinologist and relies on their expertise to manage their condition,,persona,[],yes,90,young child and pediatric care imply primary school age
188617,An 11-year-old kid who can't get enough of the 'Phoebe and Her Unicorn' series.,11.0,persona,[],yes,100,age 11 is within primary school range
192059,A young child who is eager to learn and excited to be part of language-learning programs,,persona,[],yes,80,"young child eager to learn, likely in primary school age range"
193427,A fellow child who loves exploring and learning through interactive hardware,,persona,[],yes,80,"Persona describes a child and mentions learning, suggesting primary school age"
198541,A young girl who loves storytelling but struggles with reading comprehension,,persona,[],yes,80,"struggles with reading comprehension, a common challenge in primary school"
21270,A committed child actor who is always excited for the next school play,,persona,[],yes,90,child actor and school play participation implies primary school age
27977,A classmate of the young girl who also participates in the organization's reading programs and forms a reading club with her,,persona,[],yes,90,"participates in reading programs and forms a reading club, suggesting a young student"
31665,A young child who looks up to the dentist as a superhero who saves their teeth,,persona,[],yes,90,young child implies primary school age
36426,A neighborhood kid who has daily 'meriendas' or afternoon snacks at the sari-sari store,,persona,[],yes,90,"The term 'neighborhood kid' and the context of having daily afternoon snacks suggest a young child, likely in primary school age."
42993,A curious kid who enjoys dropping by to listen to historical stories and ask about the world before they were born,,persona,[],yes,80,"describes a curious kid, implies young age"
47972,A young child who dreams of becoming a professional snowmobiler and is just starting to learn how to ride,,persona,[],yes,90,young child just starting to learn a new skill
69618,A 5-year-old child who shares their enthusiasm for bugs and loves catching them in the garden,5.0,persona,[],yes,100,"Age 5 is typical for kindergarten or preschool, which is part of primary school education"
81726,A young child who is excited to learn about and observe the different animals that visit the oasis,,persona,[],yes,90,young child
83597,A child who listens to audiobooks and is enthralled by the voices and personalities the voice actor portrays,,persona,[],yes,80,childhood activity and lack of indicators for higher education level
87624,A young child who dreams of being a roller coaster designer and asks the ride operator endless questions about the rides,,persona,[],yes,90,described as a young child
94107,A young couple who recently moved into the area and attend the librarian's storytime sessions with their toddler,,persona,[],yes,90,"The persona mentions attending storytime sessions with their toddler, which is typically for young children in preschool or kindergarten age."
99544,A playful elementary school student who loves outdoor activities but often forgets to wash his hands,8.0,persona,[],yes,100,Persona is described as an elementary school student
112599,A young child who finds joy and laughter in the weatherperson's antics,,persona,[],yes,80,young child
120892,A young child who eagerly looks forward to indulging in cotton candy and popcorn at the concession stand,,persona,[],yes,80,"young child, no indication of higher education level"
138299,A curious child who discovers the wonders of dental hygiene and develops good oral habits through reading the author's books,,persona,[],yes,90,"The persona is described as a child developing good oral habits, implying an age range consistent with primary school."
141495,A young child who looks up to the Cronulla Sharks mascot and dreams of becoming a professional athlete,,persona,[],yes,90,young child and no mention of higher education level
142354,A young child who is fascinated by bugs and constantly asks questions about the natural world,,persona,[],yes,90,"young child, curiosity about natural world typical of primary school age"
156331,"A curious young student fascinated by herpetology, the study of reptiles and amphibians, who just learned about Platyceps atayevi in class.",,persona,[],yes,90,"The persona is described as a student who just learned about a topic in class, indicating they are currently attending school, and the context suggests an age-appropriate interest for a primary school student."
159672,A young child who is eager to learn how to ride a bike and stay safe on the roads,,persona,[],yes,90,"young child learning to ride a bike, typical activity for primary school age"
163669,A curious and imaginative child who loves science experiments and plays Minecraft,,persona,[],yes,90,interests and activities typical of a primary school age child
175514,a Taiwanese elementary school student who loves playing tennis and is a fan of the Chan sisters,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student
181084,A fellow child who has already excelled in yoga and invites the young child to join a kids yoga club,,persona,[],yes,90,"The persona is described as a fellow child and invites another young child to a kids yoga club, indicating they are likely of similar age and in primary school."
9136,A young student who is eager to explore books featuring diverse characters and cultures,,persona,[],yes,80,"young student implies a child, and interest in diverse books is common in primary school"
18783,A young child who looks forward to visiting the store and receiving stickers from the staff,,persona,[],yes,90,behaviors and interests typical of a young child
23401,A young child who is both terrified and fascinated by the special effects makeup artist's creations,,persona,[],yes,80,young child
31680,A 9-year-old child who requires multiple orthopedic surgeries due to a congenital condition,9.0,persona,[],yes,100,age 9 is within primary school range
39574,A young child who loves solving math problems and looks up to the accountant as a math role model,,persona,[],yes,90,"The persona is described as a young child, implying an age range consistent with primary school."
64525,A young child who loves sweets and is hesitant to visit the dentist,,persona,[],yes,90,behaviors and concerns typical of a young child
67701,"A young child with a vivid imagination and a love for all things sweet, who eagerly awaits each birthday cake creation",,persona,[],yes,90,young child with a vivid imagination
71305,A young child who has benefited from innovative hearing aids and is now thriving in school,,persona,[],yes,90,"thriving in school implies attendance, likely at primary level due to 'young child' description"
73610,A young child with a sweet tooth who always looks forward to getting an ice cream from the van,,persona,[],yes,90,behaviors and preferences consistent with a young child
83677,"A young child with a congenital hand deformity, seeking guidance and support from the occupational therapist",,persona,[],yes,80,"young child implies primary school age and seeking support from an occupational therapist, commonly found in elementary school settings"
87721,A 6-year-old child with anxiety and social communication difficulties,6.0,persona,[],yes,100,age 6 is within primary school range
94732,A young reader who owns every book written by the children's book author,,persona,[],yes,80,"owns children's books, implies young age"
114396,A mischievous child who constantly gets into amusing and unexpected situations that inspire the screenwriter's storytelling,,persona,[],yes,90,description implies a young child
116654,A history enthusiast grade schooler who loves reading Sherlock Holmes,,persona,[],yes,90,grade schooler indicates primary school level
118466,A child who loves to collect and draw cartoons inspired by their favorite characters,,persona,[],yes,80,Childlike interests and activities
120050,A young child with a vivid imagination and a love for building fairy gardens,,persona,[],yes,90,young child with interests typical of primary school age
122800,a grade school student in the UK who enjoys crossing the road with the help of a lollipop lady.,,persona,[],yes,100,grade school student is equivalent to primary school student
123884,A young child who is enchanted by the beauty and grace of horses and dreams of becoming an equestrian,,persona,[],yes,80,young child implies primary school age
126607,A curious child who often peeks over the fence to ask questions about the stars,,persona,[],yes,90,behaves like a curious child
151761,A child who is absolutely fascinated by the illustrator's artwork and dreams of becoming a paleontologist one day,,persona,[],yes,90,Childlike interests and career aspirations typical of a primary school student
153377,"A young child who sees the museum curator as a superhero, inspiring them to explore the wonders of the world",,persona,[],yes,90,"The persona is described as a young child, implying an age range consistent with primary school attendance."
155466,"A young, curious child fascinated by marine life and eager to learn about coral reefs",,persona,[],yes,90,"young and curious child, no indication of higher education level"
157186,A young child who is learning to regulate their emotions and make effective choices,,persona,[],yes,90,learning to regulate emotions and make choices is typical for primary school age
166888,An imaginative elementary school student with a pet iguana and a love for adventure stories,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student
170526,"A classmate of the child who is also learning chess, and together they explore different strategies and practice games",,persona,[],yes,90,"The persona is a classmate of a child, implying they are also a child in the same educational level, likely primary school."
176974,A young child who loves exploring and playing in different playgrounds,,persona,[],yes,90,young child and playground activities suggest primary school age
178990,A young child who eagerly awaits each new episode and dreams of being a character in the animated series,,persona,[],yes,80,young child
192540,A young grandchild fascinated by the colors and shapes of the different flowers in the garden,,persona,[],yes,80,"young grandchild implies a child, likely in primary school age range"
6569,A curious and imaginative child who loves to help in the garden and play with the puppy,,persona,[],yes,90,behaviors and interests typical of a young child
29900,A young child who is eager to learn about military history and heroes,,persona,[],yes,80,young child eager to learn
39710,A young child with a rare eye condition who looks up to the visually impaired individual and finds comfort in their shared experiences,,persona,[],yes,80,"The persona is described as a 'young child', implying an age range consistent with primary school attendance."
45965,A neighborhood child who shares the toddler's curiosity and enjoys going on outdoor adventures together,,persona,[],yes,80,"described as a child with toddler-like curiosity, implying a young age"
61832,"A young child with a fear of eye exams, in need of a caring and patient optometrist",,persona,[],yes,90,young child implies primary school age
69715,A young child who accidentally ingested a household cleaning product and requires immediate medical attention,,persona,[],yes,90,young child implies primary school age
84784,A classmate who enjoys outdoor activities and repeatedly attempts to coax the child into more physical play,,persona,[],yes,90,classmate implies a school setting and behavior typical of primary school age
87051,An eager 7-year old boy who enjoys reading more than playing video games,7.0,persona,[],yes,100,age 7 is within primary school range
106472,A young child who has undergone multiple MRI scans and loves the engineer's colorful machine designs,,persona,[],yes,80,young child
113455,A cheerful and outgoing child who befriends the shy preschooler and helps them feel more comfortable,3.0,persona,[],yes,100,"Persona is described as a child who befriends a preschooler, indicating they are also in a similar early educational level."
115196,a young child who dreams of becoming a meteorologist,,persona,[],yes,80,young child implies primary school age
123425,A young child who admires the woodworking skills and dreams of becoming a woodworker too,,persona,[],yes,80,young child implies primary school age
135343,A young child who is fascinated by balloon animals and dreams of becoming a balloon artist,,persona,[],yes,90,young child
137624,A young child from an underprivileged community who dreams of becoming a scientist to solve water crisis,,persona,[],yes,90,young child implies primary school age
141565,"A fellow young learner who enjoys discovering new knowledge through books, experiments, and hands-on projects",,persona,[],yes,80,enjoys hands-on projects and is described as a young learner
143476,A preschooler who loves being read to and discusses the pictures in the books,3.0,persona,[],yes,100,"Persona is a preschooler, which falls under primary school category"
160836,A young child with a genetic disorder eager to understand how gene editing could potentially improve their quality of life,,persona,[],yes,80,"The persona is described as a young child, implying an age range consistent with primary school attendance."
165080,A group of children at a local library eagerly listening to their captivating tales,,persona,[],yes,80,children listening to tales at a library suggests a primary school age group
182053,"A young student fascinated by Viking folklore and history, using the author's work as a reference for a school project",,persona,[],yes,90,"The persona is described as a young student working on a school project, which suggests they are likely in primary school."
183462,A young child who is eager to learn how to train their new puppy,,persona,[],yes,80,young child
197204,"A young child who trusts and feels comfortable with their pediatrician, seeing them as a source of comfort and support",,persona,[],yes,80,young child implies primary school age
7664,A young child who dreams of becoming a pilot and looks up to the calm and collected pilot as a role model,,persona,[],yes,80,young child implies primary school age
21416,A young child fascinated by Disney movies and loves to hear stories from their collection,,persona,[],yes,80,young child and interests typical of primary school age
35522,A young child who is fascinated by toys and loves hearing stories about the history of Hector toys,,persona,[],yes,90,Persona describes a young child with interests typical of a primary school age
39734,A young child with cerebral palsy who is determined to learn how to walk independently,,persona,[],yes,90,young child implies primary school age and educational level
54271,A young child who looks up to the muralist and finds inspiration in their colorful creations,,persona,[],yes,80,young child implies primary school age
61857,A curious and eager young student who hangs onto their elder's every word,,persona,[],yes,80,"describes a young student, implies early educational level"
71407,A young child who eagerly watches every video and wishes to be featured in one,,persona,[],yes,80,young child
75576,A child living in one of Holt International's sponsored communities who is positively impacted by their communications efforts,,persona,[],yes,80,Holt International's sponsored communities often support children in early education
83839,A shy and anxious preschooler who is struggling with separation anxiety,3.0,persona,[],yes,100,Persona is described as a preschooler
87059,A young child who has developed a deep bond with one of the livestock animals and considers it their best friend,,persona,[],yes,80,young child implies primary school age
103065,A young child who is nervous about receiving vaccinations and needs reassurance and support,,persona,[],yes,90,young child
122941,A curious and adventurous child who looks forward to every outdoor lesson with excitement,,persona,[],yes,90,describes a child with characteristics typical of a primary school student
135409,A timid 8-year-old child who is afraid of the water but eager to learn swimming,8.0,persona,[],yes,100,age 8 is within primary school range
150344,A young child who looks up to the mediator's calm and composed demeanor,,persona,[],yes,80,young child implies primary school age
154696,A nine-year-old girl struggling with reading comprehension but shows great enthusiasm for learning.,,persona,[],yes,100,age and educational challenges are consistent with primary school
163045,A child who attends the reading sessions and is inspired to write their own stories,,persona,[],yes,90,"Attends reading sessions and writes own stories, typical of primary school activities"
163845,A primary school student who serves as the first reader and critic of every new book,8.0,persona,[],yes,100,Persona is explicitly described as a primary school student
184663,A curious and imaginative child attending the reading workshops with a thirst for knowledge,,persona,[],yes,90,attending reading workshops and described as a child
193704,A young child who dreams of becoming a zookeeper and loves learning about different animals,,persona,[],yes,90,young child and love for learning about animals is typical for a primary school student
197331,A young child who relies on the caregiver for their daily needs and finds comfort in their presence,,persona,[],yes,90,young child implies primary school age and reliance on caregiver
16622,A curious and eco-conscious child who looks up to the solar energy entrepreneur as a role model,,persona,[],yes,90,described as a child
23547,A classmate who is initially unaware of the child's anxiety but becomes a supportive friend after discovering their talent in art,,persona,[],yes,90,"The persona is described as a classmate, implying they are in the same educational setting, likely a primary school."
26671,A curious and enthusiastic elementary school student who loves asking questions about the human body and how it works,8.0,persona,[],yes,100,Persona is explicitly described as an elementary school student
32908,"A quiet, imaginative student who always participates in story time and dreams of becoming an inventor",,persona,[],yes,90,"participates in story time, a common activity in primary school"
41855,A young child who dreams of becoming a race car driver like Chase Briscoe,,persona,[],yes,90,young child
