persona_id,idx,source_config,persona_text,age_refined,llm_label,llm_confidence,llm_reason,shard_id,age_heuristic,age,age_refine_confidence,age_refine_reason
persona::189777,189777,persona,A high school student who looks up to them and seeks guidance on how to get involved in community service and emergency response,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references seeking guidance on community service and emergency response, which are activities typically associated with high school context and student involvement.",0,16,16,,
persona::190278,190278,persona,A high school student searching for a thought-provoking dystopian novel,16,yes,100,"The persona explicitly identifies as a 'high school student' and is searching for a dystopian novel, which implies engagement with school-related reading or coursework, a concrete school context.",0,16,16,,
persona::190471,190471,persona,A shy high school student seeking advice on how to ask their crush out to prom,16,yes,100,"The persona explicitly identifies as a 'shy high school student' and references 'prom,' which is a concrete event in the high school context, indicating current enrollment in high school.",0,16,16,,
persona::190593,190593,persona,A high school student seeking guidance in the subjects the student excels in to improve their grades,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and mentions seeking guidance in 'subjects' which implies current coursework or classes, a concrete school context.",0,16,16,,
persona::190943,190943,persona,A curious high school student seeking guidance for their science fair project,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and mentions seeking guidance for a 'science fair project,' which is a concrete school context related to coursework and school life.",0,16,16,,
persona::190967,190967,persona,A high school student who is struggling with depression and contemplating dropping out of school,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'dropping out of school,' which is a concrete school context related to current high school attendance.",0,16,16,,
persona::191553,191553,persona,a curious high school student in Finland who's interested in computer science,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and specifies the context of being in Finland, which implies a current enrollment in upper secondary education, a standard part of the Finnish education system.",0,16,16,,
persona::192200,192200,persona,A high school student interested in pursuing a career in education and eager to provide feedback on the curriculum specialist's programs,16,yes,100,"The persona explicitly identifies as a 'high school student' and expresses interest in providing feedback on curriculum specialist's programs, which implies current involvement in a school environment with a formal curriculum.",0,16,16,,
persona::192700,192700,persona,A high school student interested in pursuing a career in cloud computing and seeking guidance,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses interest in pursuing a career, which implies current enrollment in high school, a context consistent with upper secondary education.",0,16,16,,
persona::192799,192799,persona,A high school student and JROTC member aiming to follow in military footsteps while embracing modern social values,16,yes,100,"The persona explicitly identifies as a 'high school student' and includes the concrete school context of being a 'JROTC member,' which is a structured program within high schools.",0,16,16,,
persona::192835,192835,persona,A high school student passionate about robotics and is learning Python for automation projects,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and mentions 'learning Python for automation projects,' which is a concrete reference to coursework and academic activity within a high school context.",0,16,16,,
persona::193344,193344,persona,A senior high school student growing up in Vienna and interested in Software Engineering,16,yes,100,"The persona explicitly identifies the individual as a 'senior high school student' and specifies 'growing up in Vienna,' which provides a concrete school context related to upper secondary education.",0,16,16,,
persona::193615,193615,persona,a high school student in Grandview who wants a part-time job,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'Grandview,' which serves as a concrete school context indicating a specific high school environment.",0,16,16,,
persona::194175,194175,persona,As a curious high school student interested in STEM fields and looking up to role models.,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses interest in STEM fields, which implies current enrollment in high school coursework and engagement with academic subjects typical of a high school environment.",0,16,16,,
persona::195090,195090,persona,"A high school student interested in physics, who benefits from the interactive exhibits in their learning",16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'interactive exhibits' in their learning, which constitutes a concrete school context related to the educational environment.",0,16,16,,
persona::195254,195254,persona,A high school student curious about the history of their own school,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses curiosity about 'the history of their own school,' which constitutes a concrete school context.",0,16,16,,
