idx,persona_text,age,source_config,strict_reject_reasons,llm_label,llm_confidence,llm_reason,age_refined,age_refine_confidence,age_refine_reason
195956,"a first-year university student majoring in English, with little background in chemistry or biology",18.0,persona,[],yes,100,explicitly described as a first-year university student,18.0,,
13059,A first-year university student who struggles with parking availability on campus,18.0,persona,[],yes,100,Explicitly described as a first-year university student,18.0,,
30625,an incoming freshman at Barton College who's interested in studying audio recording technologies,18.0,persona,[],yes,100,Persona is described as an incoming freshman,18.0,,
115931,"a film student in their first year of university, learning about different roles on film sets for the first time.",18.0,persona,[],yes,100,explicitly described as a first-year university student,18.0,,
182143,a freshman student at the University of Alabama who participates in the school band and cheers for every home game.,18.0,persona,[],yes,100,Explicitly described as a freshman student at a university,18.0,,
13698,a freshman at the American University in Dubai who is majoring in Digital Production and Storytelling,18.0,persona,[],yes,100,Persona is explicitly described as a freshman at a university.,18.0,,
86035,a first-year biology student at the University of Sheffield,18.0,persona,[],yes,100,clearly described as a first-year university student,18.0,,
150215,a freshman student at the College of Charleston who relies heavily on Information Technology services in his learning.,18.0,persona,[],yes,100,Persona is explicitly described as a freshman student at a college.,18.0,,
197242,"A current college football player who graduated from Wells High School, where Timothy Roche coached me",16.0,persona,[],yes,90,recent high school graduate and current college student,16.0,,
8181,a freshman college student who is searching for the perfect college accommodation.,18.0,persona,[],yes,100,Persona is explicitly described as a freshman college student,18.0,,
57362,A sports broadcasting intern who is a freshman at the University of Arizona,18.0,persona,[],yes,100,Persona is explicitly described as a freshman at a university,18.0,,
64610,A freshman at Oklahoma State University who is eagerly anticipating participating in student government.,18.0,persona,[],yes,100,Explicitly described as a freshman at a university,18.0,,
73411,"An eager university student aiming to complete their first Ironman, studying sports science and nutrition",18.0,persona,[],yes,100,Persona is a first-year university student studying sports science and nutrition,18.0,,
93013,A first-year college student majoring in business and has no particular interest in extinct species,18.0,persona,[],yes,100,Persona is explicitly described as a first-year college student,18.0,,
